,band,telescope,center_frequency_GHz,fwhm_arcmin,detectors_per_tube,NET_uKsqrts,pole_NET_uKsqrts,bandpass_low,bandpass_high
ULFL1,ULFL1,LAT,20.0,10.0,216,473.0,473.0,17.5,22.5
LFL1,LFL1,LAT,27.0,7.4,384,429.0,445.0,24.0,30.0
LFL2,LFL2,LAT,39.0,5.1,384,261.0,320.0,30.0,48.0
LFS1,LFS1,SAT,30.0,72.8,296,177.0,,25.5,34.5
LFS2,LFS2,SAT,40.0,72.8,296,224.0,,34.0,46.0
MFL1,MFL1,LAT,93.0,2.2,3456,305.0,347.0,75.5,110.5
MFL2,MFL2,LAT,145.0,1.4,3456,385.0,374.0,125.0,165.0
MFLS1,MFLS1,SAT,85.0,25.5,3556,270.0,,74.8,95.2
MFLS2,MFLS2,SAT,145.1,25.5,3556,309.0,,129.1,161.0
MFHS1,MFHS1,SAT,95.0,22.7,3556,238.0,,83.6,106.4
MFHS2,MFHS2,SAT,155.1,22.7,3556,331.0,,138.0,172.1
HFL1,HFL1,LAT,225.0,1.0,3456,792.0,664.0,195.0,255.0
HFL2,HFL2,LAT,278.0,0.9,3456,1990.0,1609.0,255.5,300.5
HFS1,HFS1,SAT,220.0,13.0,8594,747.0,,195.8,244.2
HFS2,HFS2,SAT,270.0,13.0,8594,1281.0,,240.3,299.7
