|   band | NET_ratio | num_detectors_ratio | efficiency_ratio | FOV_ratio | cl_ratio |
| ULFPL1 |     0.702 |               1.000 |            1.743 |     1.000 |    0.162 |
|   LFL1 |     0.641 |               1.000 |            0.999 |     1.000 |    0.412 |
|  LFPL1 |     0.626 |               1.000 |            1.743 |     1.000 |    0.129 |
|   LFL2 |     0.824 |               1.000 |            0.999 |     1.000 |    0.680 |
|  LFPL2 |     0.839 |               1.000 |            1.743 |     1.000 |    0.232 |
|  MFPL1 |     0.822 |               1.000 |            1.743 |     1.000 |    0.222 |
|   MFL1 |     0.823 |               1.000 |            0.999 |     1.000 |    0.679 |
|   MFL2 |     0.727 |               1.000 |            0.999 |     1.000 |    0.530 |
|  MFPL2 |     0.707 |               1.000 |            1.625 |     1.000 |    0.190 |
|   HFL1 |     0.789 |               1.000 |            0.881 |     1.000 |    0.802 |
|  HFPL1 |     0.806 |               1.000 |            1.602 |     1.000 |    0.253 |
|   HFL2 |     0.768 |               1.000 |            0.881 |     1.000 |    0.759 |
|  HFPL2 |     0.763 |               1.000 |            1.107 |     1.000 |    0.476 |
|   LFS1 |     0.956 |               0.973 |            0.779 |     1.000 |    1.549 |
|   LFS2 |     0.912 |               0.973 |            0.779 |     1.000 |    1.410 |
|  MFLS1 |     1.074 |               0.992 |            0.779 |     1.000 |    1.918 |
|  MFHS1 |     1.043 |               0.992 |            0.779 |     1.000 |    1.808 |
|  MFLS2 |     0.907 |               0.992 |            0.622 |     1.000 |    2.145 |
|  MFHS2 |     0.898 |               0.992 |            0.622 |     1.000 |    2.103 |
|   HFS1 |     0.815 |               1.000 |            0.442 |     0.720 |    1.763 |
|   HFS2 |     1.120 |               1.000 |            0.306 |     0.720 |    6.952 |
